Designator,Mid X,Mid Y,Rotation,Layer
SW1,143.5,-74.9,0.0,top
SW2,168.5,-99.9,270.0,top
SW3,143.5,-124.9,180.0,top
SW4,118.5,-99.9,90.0,top
SW5,164.125,-69.15,90.0,top
SW6,174.125,-69.15,90.0,top
U1,118.5,-76.4,0.0,top
